Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Number of Articles,Full Description,Investor Type,Investment Stage,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Lead Investments,Number of Investments,Number of Portfolio Organizations,Industry Groups,Primary Industry,Primary Industry URL,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Number of Lead Investors,Number of Investors
xAI,https://www.crunchbase.com/organization/xai,,"Artificial Intelligence (AI), Foundational AI, Generative AI, Information Technology, Machine Learning","Palo Alto, California, United States",XAI is an artificial intelligence startup that develops AI solutions and tools to enhance reasoning and search capabilities.,2,"San Francisco Bay Area, Silicon Valley, West Coast",94304,,,Active,2023-07-12,day,2026-02-02,day,,,For Profit,https://x.ai,"7,060","xAI develops artificial intelligence systems and tools centered on large language models and AI-powered applications that support reasoning, real-time data integration, and natural language interaction. The company offers products such as the Grok chatbot and associated APIs for embedding conversational AI into third-party applications, and it builds infrastructure to support model training and deployment at scale. Its technology is designed to leverage extensive data sources and computational resources to provide contextual insights, information retrieval, and automated responses for diverse use cases. xAI also works on complementary AI platforms and knowledge services that extend AI utility beyond simple chatbots, while continuously iterating on its models and deployment frameworks.",,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,10,"Antoine Caironi, Christian Szegedy, Elon Musk, Greg Yang, Igor Babuschkin, Jimmy Ba, Kyle Kosic, Manuel Kroiss, Toby Pohlen, Tony Wu",1001-5000,12,M&A,2026-01-06,20000000000,USD,20000000000,Series E,20000000000,USD,20000000000,Series E,37884918163,USD,37884918163,42885218163,USD,42885218163,"Andreessen Horowitz, Lightspeed Venture Partners, NVIDIA, Sequoia Capital, BlackRock","Morgan Stanley, Neptune Digital Assets, SpaceX, X (formerly Twitter)",4,62
Mistral AI,https://www.crunchbase.com/organization/mistral-ai,,"Agentic AI, Artificial Intelligence (AI), Foundational AI, Generative AI, Machine Learning, Natural Language Processing, Open Source, Virtual Assistant","Paris, Ile-de-France, France",Mistral AI is an AI platform that provides large language models and AI services tailored to diverse enterprise applications.,10,"European Union (EU), Europe, Middle East, and Africa (EMEA)",75001,,$100M to $500M,Active,2023-04-01,month,,,,,For Profit,https://mistral.ai,"1,093","Mistral AI presents a suite of configurable large language models and AI services tailored for diverse enterprise applications. It offers both open-weight and commercially licensed models that support tasks such as advanced reasoning, code generation, multitasking across modalities, and chatbot interactions. The company delivers full-stack AI capabilities, spanning model customization, deployment via APIs, agent-based automation, and scalable infrastructure, enabling integration into existing enterprise systems. Responses draw on publicly available technical information and aim for clarity and neutrality.",,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Machine Learning,https://www.crunchbase.com/category/machine-learning,5,"Arthur Mensch, Charles Gorintin, Guillaume Lample, Jean Charles Samuelian, Timothee Lacroix",251-500,9,Late Stage Venture,2026-03-30,830000000,USD,830000000,Debt Financing,1700000000,EUR,1989400009,Series C,2673000000,EUR,3036049080,4007817947,USD,4007817947,"Andreessen Horowitz, General Catalyst, Lightspeed Venture Partners, Headline, Bpifrance","Andreessen Horowitz, ASML, DST Global, General Catalyst, Lightspeed Venture Partners, Microsoft",6,46
DeepSeek,https://www.crunchbase.com/organization/deepseek,,"Artificial Intelligence (AI), Developer APIs, Foundational AI, Generative AI, Machine Learning, Software","Hangzhou, Zhejiang, China",DeepSeek is an artificial intelligence software company that focuses on developing open-source large language models (LLMs).,16,Asia-Pacific (APAC),,,$100M to $500M,Active,2023-01-01,year,,,,,For Profit,https://www.deepseek.com,"6,680","DeepSeek is an artificial intelligence software company that focuses on developing open-source large language models (LLMs). The company researches and develops AI models, machine learning, natural language processing (NLP), and other advanced AI applications. DeepSeek offers an AI assistant app powered by its latest DeepSeek-V3 model. The company has released DeepSeek-R1, an open-source model that rivals OpenAI's offerings, which can be freely distilled and commercialized under the MIT license.",,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",,,1,Liang Wenfeng,101-250,1,Early Stage Venture,2026-06-16,50000000000,CNY,7396121474,Series A,50000000000,CNY,7396121474,Series A,50000000000,CNY,7396121474,50000000000,CNY,7396121474,"Guozhi Investment, Contemporary Amperex Technology, Tencent, IDG Capital, Monolith Management",Liang Wenfeng,1,10
Anthropic,https://www.crunchbase.com/organization/anthropic,,"Agentic AI, Artificial Intelligence (AI), Foundational AI, Generative AI, Machine Learning, Software","San Francisco, California, United States",Anthropic is an artificial intelligence company that develops large language models and AI systems for business and research use.,104,"San Francisco Bay Area, West Coast, Western US",94104-5401,Women Founded,$10B+,Active,2021-01-01,month,,,,,For Profit,https://www.anthropic.com,"16,774","Anthropic develops artificial intelligence tools and research initiatives focused on creating AI systems and models for business and research use. The company produces the Claude family of AI products, including conversational and coding assistants, integrations with productivity applications, and developer APIs that organizations can deploy for automation, information retrieval, and task workflows. It also engages in systematic research and analysis of AI behavior, safety methods, and policy issues to inform product design and external stakeholders. Beyond product development, Anthropic generates documented insights and collaborates with academic, civil society, and industry groups to explore implications of AI on economic and societal systems. These efforts aim to connect foundational research with practical AI applications in enterprise environments.",,,,,2,2,12,12,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",Machine Learning,https://www.crunchbase.com/category/machine-learning,7,"Benjamin Mann, Daniela Amodei, Dario Amodei, Jack Clark, Jared Kaplan, Sam McCandlish, Tom Brown",1001-5000,20,Late Stage Venture,2026-06-09,,,,Debt Financing,50000000000,USD,50000000000,Series H,120904000000,USD,120904000000,128740377627,USD,128740377627,"Temasek, General Catalyst, General Atlantic, Lightspeed Venture Partners, Menlo Ventures","Advanced Technology Investment Company, Altimeter Capital, Amazon, Apollo, Blackstone Group, Capital Group, Coatue, D1 Capital Partners, D. E. Shaw & Co., Dragoneer Investment Group, Fidelity, Founders Fund, FTX, GIC, Google, Greenoaks, G Squared, ICONIQ Capital, Jaan Tallinn, Lightspeed Venture Partners, Manhattan Venture Partners (MVP), Menlo Ventures, MGX, Sequoia Capital, SK Telecom, Spark Capital, XN",27,133
Saronic,https://www.crunchbase.com/organization/saronic,,"Artificial Intelligence (AI), Autonomous Vehicles, Manufacturing, Marine Technology, Military, Robotics","Austin, Texas, United States",Saronic designs and manufactures unmanned surface vehicles for maritime security and domain awareness.,231,Southern US,78745,,,Active,2022-09-01,month,,,,,For Profit,https://www.saronic.com,170,"Saronic is a defense technology company that designs, builds, and deploys autonomous surface vessels (ASVs) for naval and maritime applications. The company focuses on integrating advanced hardware, artificial intelligence, and software into scalable unmanned systems that enhance maritime awareness, extend operational reach, and improve survivability in complex environments. Its vessels are capable of functions such as navigation, target identification, communication, and payload deployment, enabling both independent and coordinated mission execution. Saronic emphasizes rapid innovation and high-throughput manufacturing to support defense and commercial maritime needs. The company primarily serves government and defense customers, aiming to modernize naval operations and strengthen maritime capabilities through autonomous, software-driven platforms.",,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Hardware, Information Technology, Manufacturing, Science and Engineering, Software, Transportation",,,4,"Dino Mavrookas, Doug Lambert, Rob Lehman, Vibhav Altekar",1001-5000,6,Late Stage Venture,2026-03-31,1750000000,USD,1750000000,Series D,1750000000,USD,1750000000,Series D,2595499911,USD,2595499911,2745499911,USD,2745499911,"Andreessen Horowitz, Franklin Templeton, General Catalyst, Lightspeed Venture Partners, Advent International","8VC, Andreessen Horowitz, Caffeinated Capital, Elad Gil, Hercules Capital, Kleiner Perkins",6,26
PhysicsX,https://www.crunchbase.com/organization/physicsx,,"AI Infrastructure, Artificial Intelligence (AI), Information Technology, Machine Learning, Semiconductor, Simulation, Software","London, England, United Kingdom","PhysicsX develops AI-powered engineering software that combines physics-based modeling, simulation, data management, and machine learning.",232,"Europe, Middle East, and Africa (EMEA)",EC2A 4DQ,,$10M to $50M,Active,2019-08-01,day,,,,,For Profit,https://www.physicsx.ai,89,"PhysicsX develops AI-powered engineering software that combines physics-based modeling, simulation, data management, and machine learning to support product development, manufacturing, and operational workflows. Its platform enables organizations to build, train, deploy, and manage AI models that work alongside numerical simulations, helping engineers evaluate designs, optimize processes, and analyze complex physical systems. The company provides tools for simulation orchestration, AI model development, data integration, and engineering applications within a unified environment. PhysicsX serves industries such as aerospace, automotive, semiconductors, materials, and energy, where engineering teams use its software to support design exploration, performance analysis, and decision-making across the product lifecycle.",,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",Artificial Intelligence (AI),https://www.crunchbase.com/category/artificial-intelligence,2,"Jacomo Corbo, Robin Tuluie",101-250,4,Late Stage Venture,2026-06-08,300000000,USD,300000000,Series C,300000000,USD,300000000,Series C,487000000,USD,487000000,487000000,USD,487000000,"Temasek, General Catalyst, NVIDIA, Siemens, NVentures","Atomico, General Catalyst, NVentures, Temasek",4,15
Hadrian,https://www.crunchbase.com/organization/hadrian-caa2,,"Aerospace, Artificial Intelligence (AI), Machinery Manufacturing, Manufacturing, Supply Chain Management","Hawthorne, California, United States","Hadrian builds AI-powered automated factories that manufacture precision parts for defense, aerospace, and space industries.",561,"Greater Los Angeles Area, West Coast, Western US",90250,,,Active,2020-11-01,month,,,,,For Profit,https://hadrian.co,90,"Hadrian is a precision manufacturing company that manufactures precision components to serve aerospace and defense clients. It builds autonomous, software-defined precision component factories that help its customers make rockets, satellites, jets, and eVTOLs.",,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Science and Engineering, Software, Transportation",Aerospace,https://www.crunchbase.com/category/aerospace-8a20,1,Chris Power,101-250,7,Late Stage Venture,2025-12-30,131307594,USD,131307594,Series C,131307594,USD,131307594,Series C,432807547,USD,432807547,607807547,USD,607807547,"Andreessen Horowitz, Founders Fund, Lux Capital, 137 Ventures, a16z crypto","Andreessen Horowitz, Founders Fund, Lux Capital, Morgan Stanley, T. Rowe Price",5,35
Castelion,https://www.crunchbase.com/organization/pallas-4707,,"Aerospace, Government, Manufacturing, Military, National Security","Torrance, California, United States",Castelion is a defense tech company that applies modern hardware development and manufacturing processes to national security challenges.,816,"Greater Los Angeles Area, West Coast, Western US",,,,Active,2022-01-01,year,,,,,For Profit,https://www.castelion.com,74,"Castelion is a venture-backed defense tech company applying modern hardware development and manufacturing processes to critical national security challenges, specifically to solve affordability, scale, and supply chain robustness. The company combines vertical integration, rapid iteration, and high-cadence testing to build hardware that is engineered from the ground up for scalable production. Castelion’s core offerings include solid-rocket motors, missile avionics, flight-control systems, seekers, and full strike-weapon assemblies, all designed for compatibility with existing military launch platforms.",,,,,,,,,"Government and Military, Information Technology, Manufacturing, Science and Engineering",,,3,"Andrew Kreitz, Bryon Hargis, Sean Pitt",101-250,5,Early Stage Venture,2025-12-05,350000000,USD,350000000,Series B,350000000,USD,350000000,Series B,439614995,USD,439614995,469614995,USD,469614995,"Andreessen Horowitz, General Catalyst, Lightspeed Venture Partners, Quiet Capital, Valor Equity Partners","Altimeter Capital, Andreessen Horowitz, Lavrock Ventures, Lightspeed Venture Partners, Silicon Valley Bank",5,20
Scale,https://www.crunchbase.com/organization/scale-2,,"Agentic AI, Artificial Intelligence (AI), Autonomous Vehicles, Data Collection and Labeling, Generative AI, Image Recognition, Machine Learning","San Francisco, California, United States",Scale AI provides a data-oriented platform that assists in the development of AI applications.,"1,543","San Francisco Bay Area, West Coast, Western US",94103,Women Founded,,Active,2016-08-25,day,,,,,For Profit,https://scale.com,"1,327","Scale AI develops a data-oriented platform that provides training and validation data for artificial intelligence applications. The company's LiDAR, video, and image annotation APIs allow self-driving, drone, and robotics teams at companies like Lyft, OpenAI, Zoox, Pinterest, and Airbnb to focus on building differentiated models vs. labeling data.",,,,,,1,2,2,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",,,2,"Alexandr Wang, Lucy Guo",1001-5000,10,,2025-06-10,14300000000,USD,14300000000,Corporate Round,14300000000,USD,14300000000,Corporate Round,15902620000,USD,15902620000,15902620000,USD,15902620000,"Accel, NVIDIA, Founders Fund, Index Ventures, Wellington Management","Accel, Dragoneer Investment Group, Founders Fund, Greenoaks, Index Ventures, Meta, Tiger Global Management",7,49
Shield AI,https://www.crunchbase.com/organization/shield-ai,,"Aerospace, Artificial Intelligence (AI), Autonomous Vehicles, Drones, Machine Learning, National Security","San Diego, California, United States",Shield AI is a deep-tech company that focuses on developing AI-powered systems to enhance the safety of service members and civilians.,"1,567","Greater San Diego Area, West Coast, Western US",92101,,$100M to $500M,Active,2015-12-10,day,,,,,For Profit,http://www.shield.ai,441,"Shield AI is an enterprise-focused company specializing in AI-powered mission autonomy, developing and deploying advanced autonomous systems for defense and security. The company builds AI pilots that operate aircraft and drones, enabling autonomous flight in environments where communication and GPS may be unavailable. Its platform supports mission planning, navigation, and real-time decision-making for aerial systems used in reconnaissance and operational tasks. Shield AI also integrates hardware and software components to deploy autonomous capabilities across different types of unmanned systems. The company works with government and defense organizations to support missions that require autonomous operation and data-driven coordination.",,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Government and Military, Hardware, Science and Engineering, Software, Transportation",Artificial Intelligence (AI),https://www.crunchbase.com/category/artificial-intelligence,3,"Andrew Reiter, Brandon Tseng, Ryan Tseng",1001-5000,18,Late Stage Venture,2026-03-26,2000000000,USD,2000000000,Series G,2000000000,USD,2000000000,Series G,3038144999,USD,3038144999,3583144999,USD,3583144999,"Andreessen Horowitz, Advent International, Gaingels, Dorm Room Fund, Washington Harbour Partners","Advent International, Andreessen Horowitz, Blackstone Group, Breyer Capital, Disruptive, Hanwha Aerospace, Hercules Capital, JP Morgan Chase, L3Harris Technologies, Point72 Ventures, Riot Ventures, Snowpoint Ventures, SVB Capital, US Innovative Technology Fund",14,36
