Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Website,Investor Type,Top 5 Investors,Lead Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Founders,Primary Industry,Primary Industry URL,Industry Groups
NVIDIA,https://www.crunchbase.com/organization/nvidia,,"AI Infrastructure, Artificial Intelligence (AI), Consumer Electronics, Foundational AI, GPU, Hardware, Software, Virtual Reality","Santa Clara, California, United States","NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.",20,$10B+,https://www.nvidia.com,,"Sequoia Capital, SoftBank Vision Fund, ARK Investment Management, DARPA, TriplePoint Capital","ARK Investment Management, ARPA-E, DARPA, Sequoia Capital, SoftBank Vision Fund",4095000000,USD,4095000000,"Chris Malachowsky, Curtis Priem, Jensen Huang",,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software"
Helsing,https://www.crunchbase.com/organization/helsing,,"Artificial Intelligence (AI), Drones, Information Technology, Military, Software","Munich, Bayern, Germany","Helsing develops AI-powered defense tech, focusing on drones and software, to enhance military capabilities for democratic nations.",252,$1B to $10B,https://www.helsing.ai,,"General Catalyst, Lightspeed Venture Partners, Accel, BDT & MSD Partners, Greenoaks","General Catalyst, Prima Materia",1361500000,EUR,1519386783,"Gundbert Scherf, Niklas Köhler, Torsten Reil",Military,https://www.crunchbase.com/category/military,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Government and Military, Hardware, Information Technology, Science and Engineering, Software"
Quantum Systems,https://www.crunchbase.com/organization/quantum-systems,,"Aerospace, Artificial Intelligence (AI), Drones, Government, Manufacturing, Mapping Services","Gilching, Bayern, Germany","Quantum Systems builds AI-powered eVTOL drones for defense, security, and surveying, specializing in aerial intelligence solutions.",285,$100M to $500M,https://www.quantum-systems.com,,"European Investment Bank, Balderton Capital, Deutsche Bank, KfW, HV Capital","10x Group, Balderton Capital, Bayern Kapital, DTCP, ESG, European Investment Bank, HV Capital, Notion Capital, Porsche Automobil Holding, T.Capital, U.S. Department of Defense",775724608,USD,775724608,"Armin Busse, Florian Seibel",Artificial Intelligence (AI),https://www.crunchbase.com/category/artificial-intelligence,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Government and Military, Hardware, Manufacturing, Navigation and Mapping, Science and Engineering, Software"
Anduril Industries,https://www.crunchbase.com/organization/anduril-industries,,"Aerospace, Artificial Intelligence (AI), Government, Military, National Security","Costa Mesa, California, United States",Anduril Industries is a defense technology company that specializes in developing advanced autonomous systems to enhance national security.,454,$1B to $10B,https://www.anduril.com,,"Andreessen Horowitz, General Catalyst, Valor Equity Partners, Lightspeed Venture Partners, BlackRock","AlphaTON Capital Corp., Andreessen Horowitz, Elad Gil, Founders Fund, General Catalyst, Sands Capital Ventures, U.S. Department of Defense, Valor Equity Partners, XPRIZE",6375670000,USD,6375670000,"Brian Schimpf, Joseph Chen, Matt Grimm, Palmer Luckey, Trae Stephens",Government,https://www.crunchbase.com/category/government,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Science and Engineering, Software"
Samsung Electronics,https://www.crunchbase.com/organization/samsung-electronics,,"Consumer Electronics, Electronics, Manufacturing, Mobile Apps, Mobile Devices","Seoul, Seoul-t'ukpyolsi, South Korea","Samsung Electronics is a technology company that engages in consumer electronics, IT and mobile communications, and device solutions.",486,$10B+,https://www.samsung.com,,"KB Securities, U.S. Department of Commerce",U.S. Department of Commerce,4745000000,USD,4745000000,"Byung-chul Lee, Jenny Gizzi",,,"Apps, Consumer Electronics, Hardware, Manufacturing, Mobile, Software"
Amazon,https://www.crunchbase.com/organization/amazon,,"Artificial Intelligence (AI), Delivery, E-Commerce, Foundational AI, Retail","Seattle, Washington, United States","Amazon is a tech firm with a focus on e-commerce, cloud computing, digital streaming, and artificial intelligence.",716,$10B+,https://amazon.com,,"Kleiner Perkins, Amazon, DBS Bank, Mizuho Bank, AOL","Amazon, Kleiner Perkins",8108000000,USD,8108000000,Jeff Bezos,,,"Administrative Services, Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Science and Engineering, Software"
IBM,https://www.crunchbase.com/organization/ibm,,"Business Development, Business Information Systems, CRM, Data Management, Foundational AI, Software","Armonk, New York, United States","IBM is an IT technology and consulting firm providing computer hardware, software, infrastructure, and hosting services.",847,$10B+,http://www.ibm.com,,,,,,,"Gerard Aldus, Thomas J. Watson",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Sales and Marketing, Science and Engineering, Software"
Netflix,https://www.crunchbase.com/organization/netflix,,"Digital Entertainment, Media and Entertainment, TV, Video Streaming","Los Gatos, California, United States",Netflix is an online streaming platform that enables users to watch TV shows and movies.,968,$10B+,https://www.netflix.com,,"HSBC, IVP, TCV, Redpoint, BNP Paribas","Groupe Arnault, IVP, Reed Hastings, TCV, Wells Fargo",72107714724,USD,72107714724,"Marc Randolph, Reed Hastings",,,"Content and Publishing, Media and Entertainment, Video"
Rio Tinto,https://www.crunchbase.com/organization/rio-tinto,,"Manufacturing, Mineral, Mining, Mining Technology, Natural Resources","Melbourne, Victoria, Australia",Rio Tinto is a mining and metals company that focuses on the extraction and processing of minerals and metals in various sectors.,"1,814",$10B+,http://www.riotinto.com,Corporate Venture Capital,"Australian Renewable Energy Agency, Canadian Government","Australian Renewable Energy Agency, Canadian Government",45679000,AUD,30744039,Hugh Matheson,,,"Manufacturing, Natural Resources, Sustainability"
Tesla,https://www.crunchbase.com/organization/tesla-motors,,"Automotive, Electric Vehicle, Energy, Manufacturing, Renewable Energy, Transportation","Austin, Texas, United States","Tesla is an electric vehicle and clean energy company that provides electric cars, solar, and renewable energy solutions.","1,843",$10B+,https://www.tesla.com,,"Valor Equity Partners, Craft Ventures, Citi, Deutsche Bank, DFJ Growth","Al Wahada Capital Investment, Australian Renewable Energy Agency, California Energy Commission, China Merchants Bank, European Union, Industrial and Commercial Bank of China, Massachusetts Clean Energy Center, Mercedes-Benz Group AG, Panasonic, PennDOT, Societe Generale, Technology Partners, Technology Venture Partners US, Tencent, Toyota Motor, US Department of Energy, Valor Equity Partners, VantagePoint Capital Partners",20117045571,USD,20117045571,"JB Straubel, Marc Tarpenning, Martin Eberhard",,,"Energy, Manufacturing, Sustainability, Transportation"
Oracle,https://www.crunchbase.com/organization/oracle,,"Data Governance, Data Management, Enterprise Software, Information Technology, SaaS, Software","Austin, Texas, United States",Oracle is an integrated cloud application and platform services that sells a range of enterprise information technology solutions.,"2,150",$10B+,https://www.oracle.com/,,"Sequoia Capital, HSBC, Citi, Goldman Sachs, Deutsche Bank","HSBC, JPMorgan Chase & Co., Sequoia Capital",25750000000,USD,25750000000,"Bob Miner, Ed Oates, JP Wiggins, Larry Ellison",,,"Data and Analytics, Information Technology, Software"
TEKEVER,https://www.crunchbase.com/organization/tekever,,"Aerospace, Information Technology, Military, Software","Lisboa, Lisboa, Portugal","The Tekever Group is a provider of innovative technologies in Software, Aerospace, Defence, and Security Markets.","2,239",,http://www.tekever.com,,"Baillie Gifford, Iberis Capital, National Security Strategic Investment Fund, NATO Innovation Fund, Crescent Cove Advisors","Baillie Gifford, NATO Innovation Fund, Ventura Capital",630669891,USD,630669891,"Nuno Cunha, Pedro Sinogas, Victor Cristina",,,"Government and Military, Information Technology, Science and Engineering, Software"
KoBold Metals,https://www.crunchbase.com/organization/kobold-metals,,"Artificial Intelligence (AI), Mineral, Mining, Software","Berkeley, California, United States",KoBold Metals is an AI-powered critical mineral startup that discovers essential materials for electric vehicles and renewable energy.,"2,254",$100M to $500M,https://www.koboldmetals.com,,"Andreessen Horowitz, Bond, StepStone Group, Breakthrough Energy Ventures, BHP","Andreessen Horowitz, Durable Capital Partners, T. Rowe Price",1224504127,USD,1224504127,"Jeff Jurinak, Josh Goldman, Kurt Zenz House",Artificial Intelligence (AI),https://www.crunchbase.com/category/artificial-intelligence,"Artificial Intelligence (AI), Data and Analytics, Natural Resources, Science and Engineering, Software"
