Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Full Description,Investment Stage,Investor Type,Primary Industry,Primary Industry URL,Industry Groups,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Number of Lead Investors,Number of Investors
NVIDIA,https://www.crunchbase.com/organization/nvidia,,"AI Infrastructure, Artificial Intelligence (AI), Cloud Computing, Foundational AI, GPU, Hardware, Virtual Reality","Santa Clara, California, United States","NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.",17,"San Francisco Bay Area, Silicon Valley, West Coast",Active,1993-04-05,day,1999-01-22,day,,,For Profit,https://www.nvidia.com,"NVIDIA is a computing platform company innovating at the intersection of graphics, HPC and AI. The company specialises in the manufacture of graphics processor technologies for workstations, desktop computers, and mobile devices. The company is a major supplier of integrated circuits used for personal computer motherboard chipsets, graphics processing units (GPUs), and game consoles.",,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Internet Services, Science and Engineering, Software","Chris Malachowsky, Curtis Priem, Jensen Huang",7,IPO,2023-05-09,5000000,USD,5000000,Grant,65000000,USD,65000000,Post-IPO Equity,4065000000,USD,4065000000,4095000000,USD,4095000000,"Sequoia Capital, ARK Investment Management, SoftBank Vision Fund, ARPA-E, DARPA","ARK Investment Management, ARPA-E, DARPA, Sequoia Capital, SoftBank Vision Fund",5,7
Sage,https://www.crunchbase.com/organization/sage-58f2,,"Elder Care, Medical, Nursing and Residential Care, Software","Brooklyn, New York, United States",Sage is an operation management system used by senior living communities to manage resident care and facility operations.,38,"Greater New York Area, East Coast, Northeastern US",Active,2020-01-01,year,,,,,For Profit,https://www.sagehealth.com,"Sage develops software and connected hardware used by senior living communities to manage resident care and facility operations. The company provides a unified care platform that integrates nurse call systems, fall detection tools, communication features, and data analytics into a single environment used by caregivers and facility staff. Its platform includes products such as Sage Core, Sage Detect, and Sage Insight, which support care coordination, safety monitoring, and operational visibility across assisted living and long-term care environments. The system collects real-time information from devices and care workflows to help staff track resident needs, respond to alerts, and document care activities. Facilities use the platform to manage tasks such as call response, fall management, and communication between caregivers and administrators. The software also integrates with electronic health records and other facility systems to create a centralized source of information about resident care and operational activities.",,,,,"Health Care, Software","Ellen Johnston, Matthew Lynch, Raj Mehra",4,Late Stage Venture,2026-03-05,65000000,USD,65000000,Series C,65000000,USD,65000000,Series C,124000000,USD,124000000,124000000,USD,124000000,"IVP, Maveron, Friends & Family Capital, Goldcrest Capital, Goldman Sachs Alternatives","Goldcrest Capital, Goldman Sachs Alternatives, IVP, Maveron",4,9
USA Rare Earth,https://www.crunchbase.com/organization/usa-rare-earth,,"Angel Investment, Manufacturing, Mining, Product Design","Tampa, Florida, United States",USA Rare Earth specializes in large range of critical heavy rare earth elements and high-tech metals.,187,"Tampa Bay Area, East Coast, Southern US",Active,2019-01-01,year,2025-03-13,day,,,For Profit,https://usare.com,"USA Rare Earth is the operator of a rare earth project with an 80% interest in the Round Top Heavy Rare Earth, Lithium and Critical Minerals Project. The company's Round Top project hosts a wide range of critical heavy rare earth elements and high-tech metals, including lithium, gallium, uraniu, and beryllium. Based on the Preliminary Economic Assessment, Round Top is projected to be one of the lowest cost rare earth and lithium producers in the world, enabling clients to get materials to fuel the United States Defense and consumer electronics industries.",,,,,"Design, Financial Services, Lending and Investments, Manufacturing, Natural Resources",Pini Althaus,8,IPO,2026-01-25,1500000000,USD,1500000000,Post-IPO Equity,1500000000,USD,1500000000,Post-IPO Equity,1702556788,USD,1702556788,3002556788,USD,3002556788,"Green Sands Equity, Navajo Transitional Energy Company, Inflection Point Acquisition Corp. III, Evolution VC Partners, Ruttenberg Gordon Investments","Inflection Point Acquisition Corp. III, Navajo Transitional Energy Company, U.S. Department of Commerce",3,6
Samsung Electronics,https://www.crunchbase.com/organization/samsung-electronics,,"Consumer Electronics, Electronics, Manufacturing, Mobile Apps, Mobile Devices","Seoul, Seoul-t'ukpyolsi, South Korea","Samsung Electronics is a technology company that engages in consumer electronics, IT and mobile communications, and device solutions.",217,Asia-Pacific (APAC),Active,1969-02-12,day,1975-06-11,day,,,For Profit,https://www.samsung.com,"Samsung Electronics is a global technology company headquartered in South Korea that operates in various areas of the electronics industry, including consumer electronics, information technology, mobile communications, and device solutions. The company is involved in the development, manufacturing, and sale of a wide range of consumer products, such as mobile phones, tablets, TVs, home theater systems, digital cameras, and home appliances like refrigerators, air conditioners, washing machines, and ovens.  Additionally, it offers PCs, peripherals, printers, memory and storage products, healthcare and medical equipment, telecommunications infrastructures, and LED lighting solutions. The company is also involved in semiconductor manufacturing, cyber game match hosting, venture capital investments, sponsoring sports teams and games, credit management, and logistics services.  Samsung Electronics operates in various regions worldwide, including Korea, China, North and Latin America, Europe, the Asia Pacific, and Africa. The company also provides repair services and consultation for electronic devices and communication systems.",,,,,"Apps, Consumer Electronics, Hardware, Manufacturing, Mobile, Software","Byung-chul Lee, Jenny Gizzi",2,IPO,2024-04-15,4745000000,USD,4745000000,Grant,,,,Post-IPO Equity,,,,4745000000,USD,4745000000,"KB Securities, U.S. Department of Commerce",U.S. Department of Commerce,1,2
Quantum Systems,https://www.crunchbase.com/organization/quantum-systems,,"Aerospace, Artificial Intelligence (AI), Drones, Government, Manufacturing, Mapping Services","Gilching, Bayern, Germany","Quantum Systems builds AI-powered eVTOL drones for defense, security, and surveying, specializing in aerial intelligence solutions.",329,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2015-01-01,month,,,,,For Profit,https://www.quantum-systems.com,"Quantum Systems provides AI-powered aerial intelligence solutions for defense and emergency services. The company designs and develops advanced aerial systems equipped with artificial intelligence to gather, analyze, and interpret data for strategic decision-making. These solutions are particularly valuable for surveillance, monitoring, and real-time information processing, enabling clients to enhance operational efficiency, safety, and effectiveness in critical operations.",,,Artificial Intelligence (AI),https://www.crunchbase.com/category/artificial-intelligence,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Government and Military, Hardware, Manufacturing, Navigation and Mapping, Science and Engineering, Software","Armin Busse, Florian Seibel",14,,2026-02-12,150000000,EUR,178117018,Debt Financing,,,,Venture - Series Unknown,565786477,USD,565786477,775724608,USD,775724608,"European Investment Bank, Balderton Capital, Deutsche Bank, HV Capital, DTCP","10x Group, Balderton Capital, Bayern Kapital, DTCP, ESG, European Investment Bank, HV Capital, Notion Capital, Porsche Automobil Holding, T.Capital, U.S. Department of Defense",11,25
Anduril Industries,https://www.crunchbase.com/organization/anduril-industries,,"Aerospace, Artificial Intelligence (AI), Government, Military, National Security","Costa Mesa, California, United States",Anduril Industries is a defense technology company that specializes in developing advanced autonomous systems to enhance national security.,344,"Greater Los Angeles Area, West Coast, Western US",Active,2017-06-21,day,,,,,For Profit,https://www.anduril.com,"Anduril Industries designs and supplies autonomous defense systems and integrated software for security and military applications. The company develops an AI-driven command-and-control platform that links sensors, unmanned vehicles across air, land, and sea, and related hardware into a cohesive operational network. Its portfolio covers unmanned aerial vehicles, counter-drone technology, undersea autonomous vehicles, and autonomous ISR (intelligence, surveillance, reconnaissance) platforms. Anduril also builds mission support software that helps users fuse sensor data and manage operations in real time. The company serves defense, national security, and government clients with technology solutions that emphasize autonomous operation and data integration. Andurils' mission is to develop innovative technology that enables America and its allies to maintain global leadership now and into the future.",,,Government,https://www.crunchbase.com/category/government,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Information Technology, Science and Engineering, Software","Brian Schimpf, Joseph Chen, Matt Grimm, Palmer Luckey, Trae Stephens",16,,2026-01-29,150000,USD,150000,Grant,,,,Venture - Series Unknown,6361220000,USD,6361220000,6375670000,USD,6375670000,"Andreessen Horowitz, General Catalyst, Lightspeed Venture Partners, Craft Ventures, 8VC","AlphaTON Capital Corp., Andreessen Horowitz, Elad Gil, Founders Fund, General Catalyst, Sands Capital Ventures, U.S. Department of Defense, Valor Equity Partners, XPRIZE",9,55
Helsing,https://www.crunchbase.com/organization/helsing,,"Artificial Intelligence (AI), Drones, Information Technology, Military, Software","Munich, Bayern, Germany","Helsing develops AI-powered defense tech, focusing on drones and software, to enhance military capabilities for democratic nations.",359,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2021-01-01,year,,,,,For Profit,https://www.helsing.ai,"Helsing offers artificial intelligence solutions designed to support defence operations across land, air, naval, and subsurface domains. It provides software-driven platforms that integrate with existing military hardware to enable autonomous target detection, coordination, and engagement. Key offerings include a reconnaissance-and-strike system that fuses battlefield data, an AI‑enabled strike drone capable of operating in electronic warfare environments, underwater autonomous surveillance drones paired with an edge‑AI classifier, and AI “wingman” pilots for aircraft. Helsing collaborates with governments and industry to embed its AI-driven software into defense ecosystems while maintaining structured ethical oversight over technology use.",,,Military,https://www.crunchbase.com/category/military,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Government and Military, Hardware, Information Technology, Science and Engineering, Software","Gundbert Scherf, Niklas Köhler, Torsten Reil",4,Late Stage Venture,2025-06-17,600000000,EUR,688936936,Series D,600000000,EUR,688936936,Series D,1361500000,EUR,1519386783,1361500000,EUR,1519386783,"Accel, General Catalyst, Lightspeed Venture Partners, BDT & MSD Partners, Greenoaks","General Catalyst, Prima Materia",2,10
Amazon,https://www.crunchbase.com/organization/amazon,,"Artificial Intelligence (AI), Delivery, E-Commerce, Foundational AI, Retail","Seattle, Washington, United States","Amazon is a tech firm with a focus on e-commerce, cloud computing, digital streaming, and artificial intelligence.",395,"Greater Seattle Area, West Coast, Western US",Active,1994-07-05,day,1997-05-15,day,,,For Profit,https://amazon.com,"Amazon operates a vast online marketplace where customers can purchase a wide variety of products, including electronics, books, apparel, household goods, and more. The company has a robust logistics and delivery network, allowing efficient shipping and on-time delivery to customers.",,,,,"Administrative Services, Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Science and Engineering, Software","Asif Makhani, Jeff Bezos",4,IPO,2026-03-11,14470000000,EUR,16702083086,Post-IPO Debt,100000000,USD,100000000,Post-IPO Equity,108000000,USD,108000000,24810083086,USD,24810083086,"Kleiner Perkins, Amazon, DBS Bank, Mizuho Bank, AOL","Amazon, Kleiner Perkins",2,5
Thales,https://www.crunchbase.com/organization/thales-cloud-protection-licensing-solutions,,"Cloud Security, Information Technology, Network Security, Software","Austin, Texas, United States","Thales Cloud Protection & Licensing Solutions provides security for the cloud, data, and software.",552,Southern US,Active,2001-01-01,year,2022-07-29,day,,,For Profit,https://cpl.thalesgroup.com/,"Thales Cloud Protection & Licensing Solutions provides security for the cloud, data, and software. Thales Cloud Protection & Licensing Solutions, also known as Thales Cloud Security is a part of Thales Group. The company was founded in 2001 and is based in Austin, Texas, United States.",,,,,"Information Technology, Privacy and Security, Software",,1,M&A,2025-07-22,1000000,USD,1000000,Grant,,,,,,,,1000000,USD,1000000,Innovation for Defence Excellence and Security,Innovation for Defence Excellence and Security,1,1
Nokia,https://www.crunchbase.com/organization/nokia,,"Electronics, Enterprise Software, Internet of Things, Mobile Devices, Telecommunications","Espoo, Southern Finland, Finland","Nokia manufactures mobile devices, network infrastructure, and location-based technology for businesses.",567,"European Union (EU), Nordic Countries, Scandinavia",Active,1865-05-12,day,1991-04-12,day,,,For Profit,http://www.nokia.com,"Nokia is a Finnish multinational communications corporation engaged in the manufacturing of mobile devices, network infrastructure, location-based technologies, and advanced technologies businesses worldwide. The corporation is also engaged in converging internet and communications industries. It manufactures a wide range of mobile devices with services and software that enable people to experience music, navigation, video, television, imaging, games, business mobility, and more. Nokia also operates through four segments, including mobile broadband, global services, HERE, and technologies. Its mobile broadband segment provides consumers with hardware and core network software required to deliver mobile voice and data services. The corporation’s technology segment is involved in the development and sale of intellectual property rights and technology licensing activities. Its global services segment provides network implementation, care, managed services, and network planning and optimization. Finally, the HERE segment provides the development of local commerce, location-based services, and more.",,,,,"Consumer Electronics, Hardware, Internet Services, Mobile, Software","Ankur Bhan, Juhani Korhonen, Knut Idestam, Leo Mechelin, Stevie Case",7,IPO,2025-12-16,435000000,EUR,511093069,Post-IPO Debt,1000000000,USD,1000000000,Post-IPO Equity,1000000000,USD,1000000000,4462848554,USD,4462848554,"European Investment Bank, NVIDIA, Nordic Investment Bank, National Telecommunications and Information Administration","European Investment Bank, National Telecommunications and Information Administration, Nordic Investment Bank, NVIDIA",4,4
